Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,Density,Enthalpy_mix (Hmix),Entropy_mix (Smix),Tm,Aatomic_Size_Difference,Electro_Negativity_Difference,VEC,Phase,BCC,BCC+Im,FCC,FCC+BCC,FCC+BCC+Im,FCC+Im
0,0,0,0,0,0,0,0.2222,0.2222,0.2222,0.1111,0.2222,0,0,6.833,-1.7778,13.1459,2320.2397,6.969762642,0.2281,4.6662,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0.075,0.25,0.175,0.25,0,0,7.0708,-1.825,12.796,2373.275,6.331916559,0.2716,4.675,BCC,1,,,,,
0,0,0,0,0,0,0,0.2128,0.2128,0.2128,0.1489,0.2128,0,0,6.9594,-2.2091,13.3088,2345.1103,6.925744665,0.2506,4.7238,BCC,1,,,,,
0,0,0,0,0,0,0,0.2174,0.0652,0.2174,0.2826,0.2174,0,0,7.4249,-3.1947,12.7247,2441.4526,6.375383414,0.3122,4.8478,BCC,1,,,,,
0,0,0,0,0,0,0,0.1887,0.1887,0.1887,0.2453,0.1887,0,0,7.2877,-3.1043,13.331,2407.5293,6.774620025,0.2916,4.8684,BCC,1,,,,,
0,0,0,0,0,0,0,0.2083,0.0625,0.2083,0.3125,0.2083,0,0,7.5258,-3.4896,12.6143,2460.1961,6.366359613,0.3198,4.8954,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,7.3552,-2.75,11.5263,2440.5,4.075838919,0.2489,5,BCC,1,,,,,
0,0,0,0,0,0,0,0.2326,0.0698,0.2326,0.2326,0.2326,0,0,7.2584,-2.6176,12.826,2410.167,6.369626112,0.2961,4.7684,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,7.13,-2.72,13.38,2378,6.853413663,0.28,4.8,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,0.25,9.16,-0.25,11.53,2539.75,3.93470745,0.05,4.75,BCC,1,,,,,
0,0,0,0,0,0,0,0.303,0.0909,0.303,0,0.303,0,0,6.5248,1.4325,10.8369,2262.195,6.005218799,0.1175,4.3935,BCC,1,,,,,
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,1,,,,,
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,1,,,,,
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,1,,,,,
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,1,,,,,
0.1961,0.1961,0.1961,0.1961,0.1961,0,0,0,0,0,0.0196,0,0,0,6.8,-12.13,13.92,1707.8963,5.777283541,0.13,7.7655,BCC,1,,,,,
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,1,,,,,
0.1961,0.1961,0.1961,0.1961,0.1961,0,0,0,0,0.0196,0,0,0,0,6.7771,-13.318,13.9216,1704.8779,5.918506466,0.1219,7.7459,BCC,1,,,,,
0.1364,0.1818,0.1818,0.1818,0.1818,0.0455,0,0.0909,0,0,0,0,0,0,6.7847,-14.3884,15.5481,1726.6237,6.381140786,0.133,7.6819,BCC,1,,,,,
0.1818,0.1818,0.1818,0.1818,0.1818,0,0,0.0909,0,0,0,0,0,0,6.44,-17.92,14.7,1707.2202,6.717962872,0.13,7.4538,BCC,1,,,,,
0.1667,0.1667,0.1667,0.1667,0.1667,0,0,0.1667,0,0,0,0,0,0,6.23,-21.56,14.9,1727.1241,7.220093625,0.14,7.1681,BCC,1,,,,,
0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,6.3149,-13.25,11.5263,1663,6.26002632,0.119,7.5,BCC,1,,,,,
0.2381,0,0.2381,0.2381,0.2381,0,0,0,0,0,0.0476,0,0,0,6.4862,-12.6531,12.5692,1721.6908,6.2040312,0.1474,7.4286,BCC,1,,,,,
0.2222,0,0.2222,0.2222,0.2222,0,0,0,0,0,0.1111,0,0,0,6.7815,-11.8519,13.1459,1799.8473,6.112491208,0.1722,7.3326,BCC,1,,,,,
0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.25,0,8.4,2.5,11.53,2327.75,4.872386594,0.13,4.25,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0.4,0.2,0,0.2,0,0,6.6559,-3.52,11.0764,2235.4,7.480507608,0.2739,4.6,BCC,1,,,,,
0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,8.7023,-3.2,13.3816,2441.4,6.097271121,0.3096,4.6,BCC,1,,,,,
0.1818,0.1818,0.1818,0.1818,0.1818,0,0,0.0909,0,0,0,0,0,0,6.44,-17.92,14.7,1707.2202,6.717962872,0.13,7.4538,BCC,1,,,,,
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,1,,,,,
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,1,,,,,
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,1,,,,,
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,6.72,-12.32,13.38,1684,5.777889559,0.12,7.8,BCC,1,,,,,
